mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0010636329650878906,0.00030328329217841883,0.0006435871124267578,0.00029903456179000465,gini,3,1,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0008516788482666015,0.00021691465408782437,0.0011668205261230469,0.000826923501538665,gini,3,1,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0008546352386474609,0.00045323572805522203,0.0005505084991455078,0.00023022431809898935,gini,3,1,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0010746479034423827,0.000686482678418819,0.0005576133728027344,0.00028675645905368644,gini,3,1,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.001703786849975586,0.0007630676728032318,0.002120828628540039,0.0017713466347127542,gini,3,2,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.001060152053833008,0.0004311322737391414,0.0006680965423583984,0.0002743083991286476,gini,3,2,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0008489131927490234,0.0004358989244467212,0.0005066871643066406,0.00022717722285334798,gini,3,2,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0006290912628173828,0.00027274758663754106,0.0004100322723388672,0.00020079620092277835,gini,3,2,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0005595207214355469,0.00011436384307665946,0.00033740997314453126,4.333539537762756e-05,gini,3,4,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0005846500396728515,0.00022073576466798017,0.00030975341796875,2.388920850388279e-05,gini,3,4,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0004872798919677734,9.040301846570727e-05,0.0003060340881347656,2.1956577809286838e-05,gini,3,4,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0005202770233154296,0.00012452110977964837,0.00030493736267089844,2.4190734351983743e-05,gini,3,4,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.9,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9266666666666665,0.03265986323710904,61
0.0013723373413085938,0.0008244695380163595,0.0005924224853515625,0.0002894935055980628,gini,3,8,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.9,0.8,0.9,0.9333333333333333,0.9666666666666667,0.9,0.05577733510227169,141
0.000922393798828125,0.0002579336618266646,0.000632476806640625,0.0002546422220126179,gini,3,8,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.9,0.8,0.9,0.9333333333333333,0.9666666666666667,0.9,0.05577733510227169,141
0.0008505344390869141,0.00034363323980627627,0.0005469322204589844,0.00024430946196877824,gini,3,8,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.9,0.8,0.9,0.9333333333333333,0.9666666666666667,0.9,0.05577733510227169,141
0.0008219718933105469,0.0005609106167820908,0.00040340423583984375,0.000143550082181715,gini,3,8,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.9,0.8,0.9,0.9333333333333333,0.9666666666666667,0.9,0.05577733510227169,141
0.0005426883697509765,8.544549337849312e-05,0.00031638145446777344,2.852227679145443e-05,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666668,0.029814239699997188,1
0.0004962921142578125,4.3509032564407815e-05,0.0003566741943359375,0.00010657443828729989,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9666666666666667,1.0,0.9333333333333333,0.9,1.0,0.9600000000000002,0.038873012632301994,3
