mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.00297395388285319,0.0016129696678884424,0.003333012262980143,0.0018593639180450928,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9720670391061452,0.9776536312849163,0.004561433413004051,27
0.004129091898600261,0.00324022902645863,0.0035419464111328125,0.0016616834260867182,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9720670391061452,0.9776536312849163,0.004561433413004051,27
0.0018734137217203777,0.0008411830579453488,0.002901951471964518,0.0011657142073339007,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0006670951843261719,0.00033859641078424953,0.0013456344604492188,0.0006548349618500743,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0005460580190022787,0.00021120390568127732,0.0027124881744384766,0.0007945574019738644,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0014969507853190105,0.000566963235535249,0.002706289291381836,0.001080508528815475,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0014317035675048828,0.0004429591778486772,0.0030967394510904946,0.0010488394761389904,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0076948801676432295,0.004967270842575559,0.0012264251708984375,6.298072454108286e-05,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.001121203104654948,0.0005267641954190617,0.004120747248331706,0.0009590181465130815,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0012729962666829426,0.000767010820912285,0.0016837120056152344,0.000631450065152168,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.010346174240112305,0.00660085562993241,0.0034603277842203775,0.0013217320838515541,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0008549690246582031,0.00022009052546367473,0.0015677611033121746,0.000287924522209725,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0009330113728841146,0.0003025380731107143,0.0034869511922200522,0.0005857233114179976,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0009027322133382162,8.33816124641621e-05,0.0026398499806722007,0.0007642280438664191,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0005553563435872396,0.0001979378108833564,0.001135428746541341,7.652266643296422e-05,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.9832402234636871,0.9888268156424581,0.9776536312849162,0.9832402234636871,0.004561433413004051,2
0.0005394617716471354,0.00026087760005300063,0.001046895980834961,0.00036398238315211664,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.9888268156424581,0.9888268156424581,0.9776536312849162,0.9851024208566108,0.005267089617776884,1
0.0005659262339274088,0.0002644478244700066,0.0011554559071858723,9.716648366862585e-05,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0007671515146891276,0.0002813934767814905,0.0013568401336669922,0.0005960130046363271,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.9832402234636871,0.9888268156424581,0.9776536312849162,0.9832402234636871,0.004561433413004051,2
0.0012027422587076824,0.0010382864845680183,0.0012111663818359375,8.311820162578642e-05,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
0.0003806749979654948,2.6850302893565263e-05,0.0017012755076090496,0.0006903479387072561,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,4
