mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.001355568567911784,0.0004193893422363197,0.00047167142232259113,1.1021255380859194e-05,gini,3,1,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7961165048543689,0.941747572815534,0.9117647058823529,0.8832095945174187,0.06278878762791555,139
0.0012633005777994792,0.0004934332452938469,0.002149343490600586,0.0024535155973133015,gini,3,1,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7961165048543689,0.941747572815534,0.9117647058823529,0.8832095945174187,0.06278878762791555,139
0.0008110205332438151,8.520083620296257e-05,0.00035230318705240887,1.2275405796330036e-05,gini,3,1,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7864077669902912,0.941747572815534,0.9117647058823529,0.879973348562726,0.06728363653779015,168
0.0006596247355143229,3.1800863966521515e-05,0.00038433074951171875,6.563313163418118e-05,gini,3,1,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7864077669902912,0.941747572815534,0.9117647058823529,0.879973348562726,0.06728363653779015,168
0.0015690326690673828,0.0009461689498890485,0.000410000483194987,4.8148879807219314e-05,gini,3,2,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7864077669902912,0.941747572815534,0.9117647058823529,0.879973348562726,0.06728363653779015,168
0.0013013680775960286,0.00037856357622076994,0.0005668799082438151,0.00019865636658272714,gini,3,2,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7864077669902912,0.941747572815534,0.9117647058823529,0.879973348562726,0.06728363653779015,168
0.0007929007212320963,0.00012154240460284958,0.00034801165262858075,1.941351330692142e-05,gini,3,2,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7864077669902912,0.941747572815534,0.9117647058823529,0.879973348562726,0.06728363653779015,168
0.0014606316884358723,0.0005773690841304401,0.000579675038655599,0.00024876624959541534,gini,3,2,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.7864077669902912,0.941747572815534,0.9117647058823529,0.879973348562726,0.06728363653779015,168
0.0018572807312011719,0.001734492994527783,0.0007033348083496094,0.00031275047283319093,gini,3,4,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7864077669902912,0.941747572815534,0.8921568627450981,0.8734374008503077,0.06478388435755152,215
0.0017453829447428386,0.0006273717313515989,0.0007598400115966797,0.00026157723650277763,gini,3,4,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7864077669902912,0.941747572815534,0.8921568627450981,0.8734374008503077,0.06478388435755152,215
0.0018351078033447266,0.000977449550529216,0.0008479754130045573,0.0003758957722167444,gini,3,4,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7864077669902912,0.941747572815534,0.8921568627450981,0.8734374008503077,0.06478388435755152,215
0.0008409818013509115,0.00014122235486232622,0.000885009765625,0.0007696645345461413,gini,3,4,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.7864077669902912,0.941747572815534,0.8921568627450981,0.8734374008503077,0.06478388435755152,215
0.0006822745005289713,4.648544129142142e-05,0.00033410390218098957,1.9226191430348483e-05,gini,3,8,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7961165048543689,0.941747572815534,0.9117647058823529,0.8832095945174187,0.06278878762791555,139
0.0011649926503499348,0.0004046722274856177,0.0008420944213867188,0.00031762873205446807,gini,3,8,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7961165048543689,0.941747572815534,0.9117647058823529,0.8832095945174187,0.06278878762791555,139
0.0012369155883789062,0.0006246934399452023,0.0005430380503336588,0.0002998595776182138,gini,3,8,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7961165048543689,0.941747572815534,0.9117647058823529,0.8832095945174187,0.06278878762791555,139
0.0009178320566813151,0.0004511969126488378,0.0003496805826822917,5.7379955067201005e-05,gini,3,8,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.7961165048543689,0.941747572815534,0.9117647058823529,0.8832095945174187,0.06278878762791555,139
0.0016280015309651692,0.0006467236667898462,0.0003993511199951172,6.239130724067822e-05,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8058252427184466,0.9320388349514563,0.9313725490196079,0.8897455422298369,0.0593412362908899,85
0.0012075106302897136,0.00033324068421181405,0.0009063879648844401,0.0006536872332171892,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8155339805825242,0.9320388349514563,0.9313725490196079,0.8929817881845296,0.05476454547121802,40
