mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0011830329895019531,0.0002574790403815831,0.0005645751953125,5.235048047276978e-05,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9611650485436893,0.941747572815534,0.9607843137254902,0.9545656450282379,0.00906507845849537,25
0.0009686946868896484,0.00010069979678743069,0.0008612473805745443,3.664379718589307e-05,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9029126213592233,0.9029126213592233,0.9411764705882353,0.915667237768894,0.018037751509422658,37
0.0009907086690266926,0.0001522331203088605,0.0005465348561604818,4.379480991464249e-05,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.5631067961165048,0.6796116504854369,0.6470588235294118,0.6299257567104511,0.049081576698721666,47
0.0012355645497639973,0.0006919090737547468,0.0008494059244791666,0.0003476316396530903,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.9611650485436893,0.941747572815534,0.9607843137254902,0.9545656450282379,0.00906507845849537,25
0.0011982917785644531,0.0004574136505127451,0.001139243443806966,0.00041484030414972963,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9029126213592233,0.9029126213592233,0.9411764705882353,0.915667237768894,0.018037751509422658,37
0.0009629726409912109,0.0001273299565031428,0.0005833307902018229,7.03762574511151e-05,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.6019417475728155,0.6407766990291263,0.6274509803921569,0.6233898089980329,0.0161122768610945,48
0.0009274482727050781,0.00043607564136223054,0.0008299350738525391,0.0006145180793818253,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.9611650485436893,0.941747572815534,0.9607843137254902,0.9545656450282379,0.00906507845849537,25
0.001886924107869466,0.0001837732854723944,0.0026702880859375,0.0003121598228326557,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.49514563106796117,0.49514563106796117,0.5392156862745098,0.509835649470144,0.02077482325587736,54
0.0012694199879964192,0.00033217691290438983,0.0015858014424641926,0.0004677340842637955,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.49514563106796117,0.49514563106796117,0.5,0.4967637540453074,0.0022883714601506385,56
0.001907030741373698,0.0005997976623451782,0.0016183058420817058,0.0007638386884116854,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.9611650485436893,0.941747572815534,0.9607843137254902,0.9545656450282379,0.00906507845849537,25
0.0028406778971354165,0.00104698304865196,0.002333958943684896,0.0003714538678072305,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5825242718446602,0.6407766990291263,0.6078431372549019,0.6103813693762294,0.0238490850271268,49
0.0021119912465413413,0.00044564483849146786,0.0008031527201334635,0.0001871650469258903,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.49514563106796117,0.49514563106796117,0.5,0.4967637540453074,0.0022883714601506385,56
0.0017023881276448567,0.0007707459036000752,0.0008826255798339844,0.00025591832955761286,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.9611650485436893,0.941747572815534,0.9607843137254902,0.9545656450282379,0.00906507845849537,25
0.0018069744110107422,0.0005668194341158696,0.0014026165008544922,0.0005927540766005603,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9029126213592233,0.8932038834951457,0.9215686274509803,0.9058950441017831,0.011770324520632897,42
0.0010166168212890625,0.00011077051371396766,0.0007680257161458334,0.00017794741732797843,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.5533980582524272,0.6116504854368932,0.5784313725490197,0.5811599720794467,0.023859592896337843,51
0.0013428529103597004,0.0004183244192798352,0.0013504823048909504,0.0009302845152168031,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.9611650485436893,0.9805825242718447,0.9803921568627451,0.9740465765594264,0.009108947357873834,12
0.0009093284606933594,0.0002804204556232057,0.0007143815358479818,0.00014984683038553667,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9320388349514563,0.941747572815534,0.9705882352941176,0.9481248810203694,0.01637104377957799,30
0.0015974044799804688,0.0005589717697329736,0.0005229314168294271,4.799673864166749e-05,1.0,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.6893203883495146,0.8058252427184466,0.7843137254901961,0.7598197855193858,0.05061824502654985,45
0.0007453759511311849,0.0001805324974722811,0.0003883043924967448,4.157167482420834e-05,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.9611650485436893,0.9805825242718447,0.9803921568627451,0.9740465765594264,0.009108947357873834,12
0.000705877939860026,3.1691042209173465e-05,0.0006248950958251953,2.0438281175328595e-05,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.912621359223301,0.941747572815534,0.9705882352941176,0.9416523891109843,0.02366497377004761,32
