mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0011751651763916016,0.00023453627170390127,0.0005147457122802734,1.159704828931361e-05,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0015223026275634766,6.959563154325351e-05,0.0011696815490722656,4.62519753676278e-05,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.00136566162109375,0.00012623687778429463,0.0030724207560221353,0.0025744943525887447,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.004632711410522461,0.0023138018130413546,0.001962741216023763,0.0007536557315260553,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.004453102747599284,0.002492160826707845,0.002094268798828125,0.0001694166030263869,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0016830762227376301,0.00015314991251929515,0.0007652441660563151,0.00010357109684031791,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.002246379852294922,0.0006999457058613714,0.0008519490559895834,0.0003027812283494154,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.002967675526936849,0.0007903543492681178,0.0029027462005615234,0.0005112033492907301,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.4972067039106145,0.819366852886406,0.22781304278453285,54
0.0030727386474609375,0.0013386520355304944,0.0036429564158121743,0.0025606922684359374,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.7932960893854749,0.8268156424581006,0.4972067039106145,0.7057728119180634,0.14811202104393428,55
0.0019249916076660156,0.000624544768221899,0.0009370644887288412,0.00042342872649812555,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0016629695892333984,4.321409367356718e-05,0.0016581217447916667,1.631537356574268e-05,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.003043095270792643,0.0009281069961289278,0.002027273178100586,0.0005287209243342811,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.7932960893854749,0.8268156424581006,0.4972067039106145,0.7057728119180634,0.14811202104393428,55
0.002255042394002279,0.000420001258943636,0.0007789929707845052,0.00021346345022276976,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0019680658976236978,0.0009468829479823195,0.002363999684651693,0.0009683823164671749,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.003131389617919922,0.00044903863464038047,0.001443624496459961,0.00044866588586683274,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0038007100423177085,0.0010266165285265244,0.0010530153910319011,0.00036026561164423214,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0011570453643798828,0.0004093746748034743,0.0007533232371012369,0.0001811651079879904,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0011254946390787761,0.00028421283600900887,0.0004673004150390625,3.803704237263801e-05,1.0,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0029382705688476562,0.0019504674189036943,0.0005200703938802084,0.00017069774973984162,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
0.0010547637939453125,8.72340533584601e-05,0.0011336008707682292,0.0003944324576623298,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9776536312849162,0.9832402234636871,0.9776536312849162,0.9795158286778399,0.002633544808888416,2
