mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0010404109954833985,0.0005489487916325871,0.0005600452423095703,0.0003122399838521687,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333333,0.029814239699997188,39
0.0007822036743164063,0.00015668998167465774,0.0004352092742919922,2.8177243341625958e-05,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9,0.9333333333333333,0.9,0.029814239699997188,21
0.0008476734161376953,0.0002314309191025823,0.000406646728515625,8.874407114851486e-05,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.7666666666666667,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8266666666666665,0.038873012632301994,44
0.0008298873901367188,0.00026724148693562456,0.0010047435760498046,0.0007406318245573454,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.8,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333333,0.029814239699997188,39
0.0015624046325683593,0.00042920174326882495,0.0010981082916259766,0.00030686030537209783,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9,0.9333333333333333,0.9,0.029814239699997188,21
0.0010691642761230468,0.00036108468538378105,0.0005241870880126953,0.00017017346170274873,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.7666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.8666666666666667,0.82,0.03399346342395189,45
0.0006197929382324219,7.621904511270442e-05,0.0003531932830810547,2.3575535087754914e-05,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.8,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333333,0.029814239699997188,39
0.0007078170776367188,0.00013770867251304997,0.0007326126098632813,0.0005096814084771324,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,52
0.0007907390594482422,0.00022944136613894643,0.0007557392120361329,0.0004899968846653963,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,52
0.000847625732421875,0.000220283460291715,0.0006905555725097656,0.0004297145936478164,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.8,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333333,0.029814239699997188,39
0.0008428096771240234,0.00028333838881829175,0.0005287647247314454,0.00020405618721690004,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,52
0.0006330013275146484,0.00014228096897538688,0.0003506183624267578,2.7015928694489798e-05,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,52
0.0007957935333251954,0.0004225215663074633,0.0004102230072021484,0.00011318979230518316,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333333,0.029814239699997188,39
0.0012310028076171875,0.0005994427886875357,0.0006959438323974609,0.0003053700677997544,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8666666666666667,0.9,0.8733333333333334,0.038873012632301994,23
0.00054931640625,3.441396901377641e-05,0.0003391265869140625,2.633531521090023e-05,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.7666666666666667,0.8333333333333334,0.7666666666666667,0.8,0.8,0.7933333333333333,0.02494438257849294,49
0.0005573749542236329,2.0525831972803985e-05,0.0003813266754150391,7.911324837837738e-05,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8333333333333334,0.9,0.8666666666666668,0.04216370213557838,28
0.0013237953186035155,0.0006456064254793487,0.0006899356842041016,0.00037978651507215893,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9466666666666667,0.04988876515698587,7
0.0010114669799804687,0.000561518375941456,0.0006762027740478515,0.00045131362165530683,1.0,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.8,0.9333333333333333,0.8666666666666667,0.8,0.8666666666666667,0.8533333333333335,0.04988876515698588,35
0.0008427619934082032,0.0003099990722710737,0.0003569602966308594,3.70037309718048e-05,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8333333333333334,0.9,0.8666666666666668,0.04216370213557838,28
