mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.01891628901163737,0.0015448224874193026,0.002055565516153971,3.146964688813421e-05,gini,3,1,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.02233235041300456,0.0017413953888741123,0.0013407071431477864,0.0009480231125050431,gini,3,1,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.02030150095621745,0.0005653297280261253,0.0014698505401611328,0.0003826933844789178,gini,3,1,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.017882744471232098,0.0008193008164469235,0.0014698505401611328,0.0003826933844789178,gini,3,1,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.016424894332885742,0.0038987166064514992,0.0011219978332519531,0.0007933722763690692,gini,3,2,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.011269569396972656,0.0019184459178687087,0.0,0.0,gini,3,2,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.01356196403503418,0.0035833099122190622,0.0,0.0,gini,3,2,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.016871134440104168,0.002677275226612827,0.0009245077768961588,0.0013074514366059474,gini,3,2,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.019013722737630207,0.002045864222516811,0.0,0.0,gini,3,4,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.013694524765014648,0.004784173068168604,0.0,0.0,gini,3,4,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.009182373682657877,0.004743420753769042,0.0038417975107828775,0.005433122143640342,gini,3,4,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.012972036997477213,0.0020458642225168106,0.0,0.0,gini,3,4,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.8402211108186365,0.8433592207450309,0.8357246281426879,0.8397683199021184,0.0031332108942210904,104
0.018056948979695637,0.004735348692010797,0.002275546391805013,0.002609852685749384,gini,3,8,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.8402211108186365,0.8434908516519679,0.835592997235751,0.8397683199021184,0.0032401430838262116,104
0.015855868657430012,0.003929793154793542,0.0006348292032877604,0.0004511777627327274,gini,3,8,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.8402211108186365,0.8434908516519679,0.835592997235751,0.8397683199021184,0.0032401430838262116,104
0.01614554723103841,0.004275649528953351,0.0016407171885172527,0.0023203245000197525,gini,3,8,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.8402211108186365,0.8434908516519679,0.835592997235751,0.8397683199021184,0.0032401430838262116,104
0.016384601593017578,0.003950873981746905,0.0,0.0,gini,3,8,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.8402211108186365,0.8434908516519679,0.835592997235751,0.8397683199021184,0.0032401430838262116,104
0.018445571263631184,0.005873870136626263,0.0017209847768147786,0.002433840012009094,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8456172677020268,0.8503356588126892,0.8459918388837699,0.8473149217994953,0.002141450438325674,56
0.026545604070027668,0.007387716313719658,0.0013370513916015625,0.0009454405307902548,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8457488812845486,0.8503356588126892,0.8458602079768329,0.8473149160246903,0.0021364711795450056,57
0.01873914400736491,0.006951016661429749,0.0006676514943440756,0.0009442017982400553,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8458804948670703,0.8505989206265632,0.8458602079768329,0.8474465411568222,0.00222908428589148,50
