mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2797090212504069,0.013083863412445893,0.0009206136067708334,0.00023975453662827034,relu,0.0001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.9320388349514563,0.9902912621359223,0.9705882352941176,0.9643061107938321,0.024192769366048115,37
0.2835412820180257,0.006653740792864582,0.0009108384450276693,0.0002292607843814385,relu,0.0001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9320388349514563,0.9902912621359223,0.9705882352941176,0.9643061107938321,0.024192769366048115,37
0.26146896680196124,0.025318159613100126,0.0009214083353678385,0.00024692356912190555,relu,0.0001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.941747572815534,0.9611650485436893,0.9901960784313726,0.9643695665968653,0.019908392301854906,31
0.25374309221903485,0.11015050334318785,0.0007843176523844401,9.38457712700144e-05,relu,0.0001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.941747572815534,0.9611650485436893,0.9901960784313726,0.9643695665968653,0.019908392301854906,31
0.20363171895345053,0.0525031026382895,0.001168648401896159,0.0005595155392627459,relu,0.0001,"(100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9514563106796117,0.9611650485436893,0.9901960784313726,0.9676058125515579,0.016458128328557184,27
0.19177532196044922,0.057877203779104276,0.0010610421498616536,0.0002289335978222729,relu,0.0001,"(100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9514563106796117,0.9611650485436893,0.9901960784313726,0.9676058125515579,0.016458128328557184,27
0.2157917022705078,0.0828466184820417,0.0007417201995849609,6.7547255709571135e-06,relu,0.0001,"(100, 100)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 500}",0.941747572815534,0.9514563106796117,0.9803921568627451,0.9578653467859636,0.016414582478290078,49
0.23792489369710287,0.0986501709268279,0.0007504622141520182,2.6020292967521623e-05,relu,0.0001,"(100, 100)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 500}",0.941747572815534,0.9514563106796117,0.9803921568627451,0.9578653467859636,0.016414582478290078,49
0.18653599421183267,0.031195138274692023,0.0008140405019124349,3.374013683419161e-05,relu,0.0001,"(150, 100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.912621359223301,0.9805825242718447,0.9803921568627451,0.9578653467859636,0.03199242481031393,49
0.20090468724568686,0.009836860987266027,0.0009679794311523438,0.0002487247096632035,relu,0.0001,"(150, 100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.912621359223301,0.9805825242718447,0.9803921568627451,0.9578653467859636,0.03199242481031393,49
