mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.8787368933359785,0.2585602458969274,1.1476415793100994,0.02974747391193028,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.816793893129771,0.817427932078452,0.8088719231275503,0.814364582778591,0.0038925128026969843,44
4.786118825276692,0.4543947116370096,6.215715726216634,0.3071303086621618,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8352197946828113,0.835461366328814,0.8311175463998947,0.8339329024705067,0.0019931986969503514,20
4.845789114634196,0.11691539106538094,1.1284146308898926,0.11291194565937977,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.8121874177415109,0.8124259576148479,0.8068974595234961,0.8105036116266184,0.002551793494901503,50
4.502335389455159,0.5969111785339569,1.1401628653208415,0.01846334366839219,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.816793893129771,0.817427932078452,0.8088719231275503,0.814364582778591,0.0038925128026969843,44
4.828799804051717,0.4577841925379838,6.027836720148723,0.343926159818766,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8354830218478547,0.8351981045149401,0.8311175463998947,0.8339328909208965,0.001994144436527462,21
5.584199110666911,0.12730642376921364,1.1699788570404053,0.08648803514597017,0.1,auto,poly,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.811660963411424,0.8129524812425958,0.807292352244307,0.8106352656327757,0.0024218872832511935,49
4.895906527837117,0.16956762071381368,1.1455269654591878,0.03451372430848382,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.816793893129771,0.817427932078452,0.8088719231275503,0.814364582778591,0.0038925128026969843,44
5.326638142267863,0.4181363783661876,6.944593985875447,0.37108667276132923,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7648065280336931,0.76359089114124,0.7633276293273661,0.7639083495007664,0.0006441377717118223,55
3.5144216219584146,0.07503919995060399,1.4565924008687336,0.0738132085601412,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.7591471439852593,0.7592470712123206,0.7591154403053837,0.7591698851676546,5.6092453133545034e-05,59
4.060972849527995,0.34683489417373786,1.0684609413146973,0.08857722227047739,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.816793893129771,0.817427932078452,0.8088719231275503,0.814364582778591,0.0038925128026969843,44
4.276403745015462,0.2910365737498978,7.382825930913289,0.43116844891957923,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8141616214793367,0.8105831249177307,0.8043964722916941,0.8097137395629206,0.004033725146445325,51
3.917007048924764,0.318354468321958,1.451338768005371,0.08652748840520903,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.7648065280336931,0.76359089114124,0.7633276293273661,0.7639083495007664,0.0006441377717118223,55
3.999951203664144,0.4200835248294315,1.1627566019694011,0.006932693042701702,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.816793893129771,0.817427932078452,0.8088719231275503,0.814364582778591,0.0038925128026969843,44
5.0116798877716064,0.2630739972694801,6.987748463948567,0.3703689631692713,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8331139773624638,0.8336185336316967,0.8300644991443991,0.8322656700461865,0.001570033813088632,22
5.144672552744548,0.21228954204486095,1.225720961888631,0.08413462365895302,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.8278494340615952,0.8240094774252995,0.8209819665657496,0.8242802926842149,0.002810164067567323,26
8.221534967422485,0.41929719234194346,1.2066411972045898,0.14042141127664878,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8170571202948145,0.8184809793339476,0.8084770304067395,0.8146717100118339,0.004418701558765839,34
4.62295921643575,0.29276057691656165,6.177011092503865,0.3003043473993967,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8448275862068966,0.8491509806502566,0.8453336843490852,0.8464374170687461,0.001929871207370543,1
6.31219760576884,0.4345741196143055,1.118028958638509,0.05195697047101143,1.0,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.8377204527507238,0.8428326971172831,0.8346715808871923,0.8384082435850665,0.003367070606537912,19
7.952621142069499,0.24122996804568908,1.2411956787109375,0.07748469943014868,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.8170571202948145,0.8184809793339476,0.8084770304067395,0.8146717100118339,0.004418701558765839,34
4.874586741129558,0.35320592921134564,6.127464850743611,0.2572959814505313,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8445643590418531,0.8491509806502566,0.8454653152560221,0.8463935516493772,0.0019841860709335843,2
5.841063737869263,0.1674063151158955,1.3164618015289307,0.08787653624724988,1.0,auto,poly,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.8377204527507238,0.8428326971172831,0.8348032117941293,0.8384521205540455,0.003318600304294852,18
