mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14.8153768380483,2.2138311674763473,0.005381584167480469,0.00010698186398975811,relu,0.0001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.8474598578573309,0.8466499934184547,0.8438857443727787,0.8459985318828548,0.0015301140261189813,1
15.050771713256836,2.0383328379119363,0.004945278167724609,0.0006831931983115427,relu,0.0001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8474598578573309,0.8466499934184547,0.8438857443727787,0.8459985318828548,0.0015301140261189813,1
22.908012946446735,2.200745178504095,0.00720985730489095,0.0006428793692928343,relu,0.0001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.8437746775467229,0.8448071607213373,0.8394102935369224,0.8426640439349943,0.002339041700665707,9
23.159730116526287,1.9776700848712596,0.010405143102010092,0.0022567311278131317,relu,0.0001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8437746775467229,0.8448071607213373,0.8394102935369224,0.8426640439349943,0.002339041700665707,9
54.716954469680786,2.6007508438403995,0.017543474833170574,0.0018357066362519217,relu,0.0001,"(100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.8107396683337721,0.8088719231275503,0.8117678030801633,0.8104597981804953,0.0011986869627521194,47
54.09723218282064,2.984862665907202,0.015201330184936523,0.0029378735323985984,relu,0.0001,"(100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8107396683337721,0.8088719231275503,0.8117678030801633,0.8104597981804953,0.0011986869627521194,47
69.81646545728047,11.169829939956049,0.023087024688720703,0.004256262541666558,relu,0.0001,"(100, 100)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 500}",0.8200842326928139,0.8233513228906147,0.8049229959194418,0.8161195171676235,0.00802870000418828,35
70.55054593086243,10.317758148311658,0.020334561665852863,0.0032857092033543077,relu,0.0001,"(100, 100)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8200842326928139,0.8233513228906147,0.8049229959194418,0.8161195171676235,0.00802870000418828,35
56.88008530934652,4.488146556987041,0.0357966423034668,0.0053689997427720255,relu,0.0001,"(150, 100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.8078441695182943,0.8165065157298934,0.8066341977096222,0.81032829431927,0.004396500334998265,49
58.12609108289083,5.209397208271257,0.03815778096516927,0.007803755643996423,relu,0.0001,"(150, 100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8078441695182943,0.8165065157298934,0.8066341977096222,0.81032829431927,0.004396500334998265,49
15.987354834874472,0.938827786720555,0.005850950876871745,0.0009347346741449169,relu,0.001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.8454856541195052,0.8467816243253916,0.8417796498617875,0.8446823094355613,0.0021195847304841366,5
15.382044633229574,1.4571081330412916,0.007545868555704753,0.0005148610926652058,relu,0.001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8454856541195052,0.8467816243253916,0.8417796498617875,0.8446823094355613,0.0021195847304841366,5
22.47462026278178,2.479221098086555,0.00808254877726237,0.0016903592580906927,relu,0.001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.8407475651487234,0.8423061734895353,0.8400684480716072,0.8410407289032887,0.0009367719401410584,13
23.447091976801556,2.710772942018231,0.008941968282063803,0.0014191145734890561,relu,0.001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.8407475651487234,0.8423061734895353,0.8400684480716072,0.8410407289032887,0.0009367719401410584,13
50.17103155454,8.33770889311513,0.015334129333496094,0.0018057696112269701,relu,0.001,"(100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.8111345090813372,0.8153218375674608,0.8178228247992628,0.8147597238160204,0.0027592717261180327,41
