mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0011977354685465496,8.57921207572767e-05,0.000686486562093099,0.00032479473667146525,0.001,1000,l1,liblinear,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.5048543689320388,0.49514563106796117,0.5,0.5,0.003963575635571484,21
0.0009201367696126302,0.0003674003400325225,0.00037821133931477863,4.3239224944665776e-05,0.001,1000,l1,saga,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.5048543689320388,0.49514563106796117,0.5,0.5,0.003963575635571484,21
0.001276254653930664,0.0004088920105556055,0.0006607373555501302,0.0002709238296298481,0.001,1000,l2,liblinear,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8640776699029126,0.8543689320388349,0.9019607843137255,0.8734691287518244,0.020532831031007465,20
0.0010102589925130208,0.00028884331866243926,0.0005540847778320312,0.0003088716756385398,0.001,1000,l2,saga,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.883495145631068,0.8446601941747572,0.9019607843137255,0.8767053747065169,0.023880468301862877,19
0.000865936279296875,0.0002794001955246504,0.0003379980723063151,2.388182574904255e-05,0.01,1000,l1,liblinear,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.5048543689320388,0.49514563106796117,0.5,0.5,0.003963575635571484,21
0.0008378823598225912,0.00015957718820553874,0.0007680257161458334,0.00016682195664898412,0.01,1000,l1,saga,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.5048543689320388,0.49514563106796117,0.5,0.5,0.003963575635571484,21
0.0011091232299804688,0.000338216117882301,0.0007195472717285156,0.000292335791350875,0.01,1000,l2,liblinear,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8737864077669902,0.8543689320388349,0.9117647058823529,0.879973348562726,0.02383662995030298,18
0.0011900266011555989,0.0006253914398374464,0.0004856586456298828,0.00022860251708264624,0.01,1000,l2,saga,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8932038834951457,0.8737864077669902,0.9215686274509803,0.8961863062377055,0.019620673850877735,16
0.0012326240539550781,0.00020430983797429698,0.0007766087849934896,0.00025631563252160705,0.1,1000,l1,liblinear,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8543689320388349,0.8932038834951457,0.9117647058823529,0.8864458404721112,0.023914041522363046,17
0.003798325856526693,0.00042175172165900696,0.00044473012288411457,5.725764461503524e-05,0.1,1000,l1,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.9029126213592233,0.912621359223301,0.9607843137254902,0.9254394314360049,0.02530494583767537,15
0.0007316271464029948,0.0001818104208609048,0.0003295739491780599,2.628401889157259e-05,0.1,1000,l2,liblinear,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.9223300970873787,0.9320388349514563,0.9509803921568627,0.9351164413985659,0.011897159268065994,14
0.0014750162760416667,0.00045265102410038796,0.0007666746775309244,0.00035003292149248156,0.1,1000,l2,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.9223300970873787,0.9320388349514563,0.9705882352941176,0.9416523891109843,0.02084110191390739,13
0.0010952949523925781,0.0003973058498629513,0.0005592505137125651,0.0003017316456712098,1.0,1000,l1,liblinear,"{'C': 1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.9902912621359223,0.9902912621359223,0.9901960784313726,0.9902595342344057,4.4870028630390304e-05,1
0.014266649881998697,0.0010340525804670416,0.0005887349446614584,0.00023166503545785707,1.0,1000,l1,saga,"{'C': 1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.970873786407767,1.0,0.9901960784313726,0.9870232882797132,0.01210052416398961,4
0.0012133121490478516,0.000858280128485818,0.0005979537963867188,0.0004011257794284792,1.0,1000,l2,liblinear,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.970873786407767,0.9611650485436893,0.9803921568627451,0.9708103306047339,0.007849562346924376,11
0.004125197728474935,0.0009779783709479165,0.0005593299865722656,0.0002269888453924299,1.0,1000,l2,saga,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.9611650485436893,0.9611650485436893,0.9803921568627451,0.9675740846500412,0.009063745783341721,12
0.0020546913146972656,0.001124478288977505,0.0005018711090087891,0.00027945512109352677,10.0,1000,l1,liblinear,"{'C': 10, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.970873786407767,0.9902912621359223,0.9901960784313726,0.9837870423250207,0.00913113351024094,8
0.023310263951619465,0.003913151069223969,0.0009008248647054037,7.648006558998235e-05,10.0,1000,l1,saga,"{'C': 10, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.970873786407767,0.9902912621359223,0.9901960784313726,0.9837870423250207,0.00913113351024094,8
0.001386562983194987,8.131840713623085e-05,0.00075531005859375,5.279379138872025e-05,10.0,1000,l2,liblinear,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.9805825242718447,1.0,0.9901960784313726,0.9902595342344057,0.007927278258964603,1
