mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11362652778625489,0.005247547693243932,0.000998067855834961,0.00025058867452348806,relu,0.0001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.9,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9466666666666667,0.026666666666666658,43
0.11418814659118652,0.008020845671051149,0.0008359432220458984,0.00017447193385405506,relu,0.0001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9466666666666667,0.026666666666666658,43
0.169852876663208,0.030352563130034965,0.001307058334350586,0.0005519923334749762,relu,0.0001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.96,0.024944382578492935,37
0.1592656135559082,0.008098651962873658,0.0011583328247070312,0.0002561775225509367,relu,0.0001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.96,0.024944382578492935,37
0.16402697563171387,0.0157711442083562,0.000996875762939453,0.0001828089687711813,relu,0.0001,"(100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9800000000000001,0.016329931618554516,1
0.15705304145812987,0.018527888052124013,0.0011882305145263672,0.0004818194310907793,relu,0.0001,"(100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9800000000000001,0.016329931618554516,1
0.18152356147766113,0.016633913314118617,0.0015511512756347656,0.0007722764139500436,relu,0.0001,"(100, 100)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 500}",0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9800000000000001,0.016329931618554516,1
0.18854498863220215,0.011333852631613208,0.0007874965667724609,4.5472117468985407e-05,relu,0.0001,"(100, 100)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9800000000000001,0.016329931618554516,1
0.15760455131530762,0.01870020610697307,0.002577972412109375,0.0016964486005959945,relu,0.0001,"(150, 100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9800000000000001,0.016329931618554516,1
0.147995662689209,0.017238465667980134,0.0008753299713134766,0.0002464200872824158,relu,0.0001,"(150, 100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9800000000000001,0.016329931618554516,1
0.1322160243988037,0.007386328948940371,0.0008994579315185547,0.00022593345643989878,relu,0.001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.9,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9466666666666667,0.026666666666666658,43
0.11953277587890625,0.00899496436805303,0.0010106086730957032,0.00043519405776408287,relu,0.001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9466666666666667,0.026666666666666658,43
0.155265474319458,0.002228600543140769,0.0007748603820800781,0.00015078138345122762,relu,0.001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.96,0.024944382578492935,37
0.17370986938476562,0.015039126177987906,0.0008819580078125,0.00020491243432024488,relu,0.001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.96,0.024944382578492935,37
