mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0005174160003662109,0.0002265662741854121,0.0012715816497802734,0.000621869197691253,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.8666666666666667,0.9333333333333333,0.9,0.9333333333333333,0.9666666666666667,0.9200000000000002,0.03399346342395189,4
0.0011111259460449218,0.0008567648068303834,0.0009378433227539062,0.00032014864557083477,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9266666666666667,0.03265986323710904,3
0.0005738258361816407,0.00032153417743543934,0.0011063098907470703,0.0006502227861085148,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9199999999999999,0.039999999999999994,5
0.0004445552825927734,0.00018814683096087792,0.0007150650024414062,0.00039043773016908523,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9199999999999999,0.039999999999999994,5
0.001341867446899414,0.0013280480833337566,0.0014065265655517577,0.000779424614384399,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.8666666666666667,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9066666666666666,0.038873012632301994,13
0.0007617950439453125,0.0006097891086076793,0.0010921001434326173,0.0004252087871378999,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.8666666666666667,0.9666666666666667,0.9,0.9,0.9666666666666667,0.9199999999999999,0.039999999999999994,5
0.0005574703216552734,0.00023776103900198232,0.0009694099426269531,0.0003287461446067918,manhattan,15,uniform,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.8,0.9333333333333333,0.8666666666666667,0.8,0.9333333333333333,0.8666666666666668,0.059628479399994376,25
0.0004451274871826172,0.00014207226894536568,0.0006100654602050782,4.638951655470757e-05,manhattan,15,distance,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9,0.04714045207910316,19
0.0005610942840576172,0.0005115287500032227,0.0014124870300292968,0.0008230861536311489,manhattan,21,uniform,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}",0.8,0.8666666666666667,0.8,0.7666666666666667,0.9,0.8266666666666668,0.04898979485566354,28
0.0006132125854492188,0.0002658630794230728,0.0007870197296142578,0.0001613279007409762,manhattan,21,distance,"{'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'distance'}",0.8333333333333334,0.9666666666666667,0.8,0.8,0.9,0.8600000000000001,0.06463573143221771,26
