mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.001773834228515625,0.0009369898084949877,0.07084512710571289,0.029513771371405963,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.946236559139785,0.967391304347826,0.9891304347826086,0.9675860994234066,0.017511893115948522,1
0.0017746289571126301,0.0008327246257996775,0.07567866643269856,0.01769560797185654,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.946236559139785,0.967391304347826,0.9891304347826086,0.9675860994234066,0.017511893115948522,1
0.0020442803700764975,0.001395805158921427,0.034086386362711586,0.0301210187506254,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9247311827956989,0.967391304347826,0.9347826086956522,0.942301698613059,0.01820941199124056,16
0.0008486111958821615,9.456662551200935e-05,0.001531044642130534,0.00023482429394483027,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9247311827956989,0.967391304347826,0.9456521739130435,0.945924887018856,0.017416989254539716,13
0.0006529490152994791,0.00017253351012632697,0.0013573964436848958,0.0002818683309787065,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9139784946236559,0.9565217391304348,0.9456521739130435,0.938717469222378,0.018047151393889408,17
0.0007913112640380859,0.0006234583389377874,0.0012272198994954426,0.0006174684123086955,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9139784946236559,0.9565217391304348,0.9565217391304348,0.9423406576281751,0.020055077789613816,15
0.000663598378499349,0.0001648305811561013,0.0013674100240071614,0.0002660871214010362,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.8817204301075269,0.9347826086956522,0.9347826086956522,0.9170952158329437,0.02501375086946337,21
0.0013506412506103516,0.0005139201189731137,0.0011907418568929036,0.00037279809559720347,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.8924731182795699,0.9347826086956522,0.9456521739130435,0.9243026336294218,0.02294014527066219,19
0.0008658568064371744,0.0003011307719892852,0.0013607343037923176,0.00023985322481455488,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.8709677419354839,0.9239130434782609,0.9130434782608695,0.9026414212248715,0.02283204373680426,23
0.00042700767517089844,3.184532129040919e-05,0.0010635852813720703,0.00025594572233231656,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.8709677419354839,0.9239130434782609,0.9130434782608695,0.9026414212248715,0.02283204373680426,23
0.00039505958557128906,9.987111152020305e-05,0.0010153452555338542,6.182304040441914e-05,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.8602150537634409,0.9130434782608695,0.9130434782608695,0.8954340034283933,0.024903558134355547,25
0.00047779083251953125,0.00016069919246142184,0.0008529027303059896,5.9018217238287786e-05,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.8602150537634409,0.9130434782608695,0.9130434782608695,0.8954340034283933,0.024903558134355547,25
0.0008223851521809896,0.00012843074772333295,0.0014921029408772786,0.0005049521015900774,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.8279569892473119,0.8695652173913043,0.9021739130434783,0.8665653732273647,0.03037309382987333,28
0.0005549589792887369,9.35195335862097e-05,0.0016484260559082031,0.00033466241085900757,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.8387096774193549,0.8804347826086957,0.9021739130434783,0.873772791023843,0.026333931213626902,27
0.0008676052093505859,0.00037488605616190103,0.0009210109710693359,0.00030841529797966436,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.956989247311828,0.9565217391304348,0.9782608695652174,0.9639239520024935,0.01013952809142435,4
0.0005112489064534506,0.0001771472326360726,0.0007257461547851562,3.166990966189627e-05,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.956989247311828,0.9565217391304348,0.9891304347826086,0.9675471404082905,0.015262887188892167,3
0.00040539105733235675,4.275359176442373e-05,0.0008366107940673828,0.00010144273944280138,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.956989247311828,0.967391304347826,0.9565217391304348,0.9603007635966962,0.005017400859840434,6
0.00034435590108235675,7.058299610313338e-05,0.0007999738057454427,0.0001043335490055956,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.956989247311828,0.967391304347826,0.967391304347826,0.9639239520024935,0.004903576712295644,4
0.00045792261759440106,0.0001660160837822579,0.0009319782257080078,0.0002780081270325569,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.967741935483871,0.9565217391304348,0.9456521739130435,0.9566386161757832,0.009018486079411159,9
0.00048065185546875,0.00027247088853448343,0.0013442039489746094,8.514269847104578e-05,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.967741935483871,0.9565217391304348,0.9565217391304348,0.9602618045815802,0.005289251285172866,7
