mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.016378164291381836,0.0026784580776731378,0.001669168472290039,0.0004730619954308094,0.001,1000,l1,liblinear,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7771782047907344,0.7755693036725023,0.7772805054626827,0.7766760046419732,0.0007836694174378208,23
0.08013280232747395,0.01012311926938903,0.002095778783162435,0.0011290636708151934,0.001,1000,l1,saga,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.7675704132666491,0.7651704620244834,0.7676714492562854,0.7668041081824727,0.0011558984658222205,24
0.01721501350402832,0.0030676169693999327,0.0010020732879638672,2.431401974483864e-06,0.001,1000,l2,liblinear,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8235061858383785,0.8179544557061998,0.8137422666842175,0.8184009694095985,0.00399858809896198,21
0.04389643669128418,0.014861577662618098,0.0016667842864990234,0.0004725505557221485,0.001,1000,l2,saga,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8106080547512503,0.8075556140581809,0.8067658286165592,0.8083098324753301,0.0016567658219356492,22
0.014884551366170248,0.001246788925913774,0.0013385613759358723,0.00023860735836967473,0.01,1000,l1,liblinear,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8286391155567254,0.8230880610767408,0.8208503356588127,0.8241925040974264,0.0032742550159273356,15
0.06273086865743001,0.0034664236119348107,0.001838366190592448,0.000227706704942033,0.01,1000,l1,saga,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.8298236377994209,0.8228247992628669,0.8194023956825063,0.8240169442482648,0.004337163363651081,17
0.022309621175130207,0.004057526158624455,0.0014440218607584636,0.0004141404304321594,0.01,1000,l2,liblinear,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8282442748091603,0.822429906542056,0.8190075029616954,0.8232272281043039,0.003812809969541175,19
0.050913095474243164,0.005000943929771716,0.0016560554504394531,0.00024368602678571523,0.01,1000,l2,saga,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8275862068965517,0.8222982756351191,0.8182177175200737,0.8227007333505815,0.0038352424920159362,20
0.027093807856241863,0.009873408592739455,0.0016663869222005208,0.0004721021132045682,0.1,1000,l1,liblinear,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.828375888391682,0.8232196919836777,0.8207187047518757,0.8241047617090785,0.003188063846866404,16
0.06920456886291504,0.005823867418041647,0.0015287399291992188,0.00041131860128639663,0.1,1000,l1,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.8281126612266386,0.8230880610767408,0.8207187047518757,0.8239731423517518,0.003082766585953095,18
0.0295867919921875,0.003857837941748493,0.001365343729654948,0.00044967877571223204,0.1,1000,l2,liblinear,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.828375888391682,0.8236145847044886,0.8212452283796235,0.8244119004919314,0.0029651714284980105,12
0.05789677302042643,0.014025546511978588,0.001583099365234375,0.0004227900713841771,0.1,1000,l2,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8285075019742038,0.8237462156114256,0.8211135974726866,0.8244557716861053,0.00305996277882863,11
0.022476832071940105,0.0009564533340585398,0.0013477802276611328,0.00023569032206865017,1.0,1000,l1,liblinear,"{'C': 1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8285075019742038,0.8237462156114256,0.8208503356588127,0.8243680177481473,0.0031567945153603326,13
0.0722358226776123,0.006357769994662668,0.001090685526529948,0.000315569323816686,1.0,1000,l1,saga,"{'C': 1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.8285075019742038,0.8237462156114256,0.8208503356588127,0.8243680177481473,0.0031567945153603326,13
0.026631911595662434,0.0016630728475734067,0.0012238025665283203,0.00031593277643766167,1.0,1000,l2,liblinear,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8287707291392472,0.8237462156114256,0.8209819665657496,0.8244996371054741,0.0032240697435952964,1
0.060082594553629555,0.0079024767970505,0.001209576924641927,0.0002998638744347652,1.0,1000,l2,saga,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8287707291392472,0.8237462156114256,0.8209819665657496,0.8244996371054741,0.0032240697435952964,1
0.028517484664916992,0.004736367041802114,0.0016862551371256511,0.0009524522209561332,10.0,1000,l1,liblinear,"{'C': 10, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8287707291392472,0.8237462156114256,0.8209819665657496,0.8244996371054741,0.0032240697435952964,1
0.06142115592956543,0.004755927692910244,0.0013383229573567708,0.00046996627522301706,10.0,1000,l1,saga,"{'C': 10, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.8287707291392472,0.8237462156114256,0.8209819665657496,0.8244996371054741,0.0032240697435952964,1
