mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0006804943084716796,0.00016482084509706444,0.0003911495208740234,3.896772073310246e-05,0.001,1000,l1,liblinear,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.3,0.3,0.3,0.3,0.3,0.3,0.0,23
0.0007746219635009766,0.00021382943469557792,0.00040826797485351565,9.560812141213154e-05,0.001,1000,l1,saga,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,20
0.0004958629608154297,5.780033495004211e-05,0.0004529476165771484,0.000279728885419035,0.001,1000,l2,liblinear,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8,0.8333333333333334,0.8333333333333334,0.8,0.8666666666666667,0.8266666666666665,0.024944382578492935,15
0.000982666015625,0.0004160745246047443,0.0004004001617431641,0.00010413741447090703,0.001,1000,l2,saga,"{'C': 0.001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,20
0.0005671977996826172,0.00011697487086762807,0.0003646373748779297,7.809358250068537e-05,0.01,1000,l1,liblinear,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.3,0.3,0.3,0.3,0.3,0.3,0.0,23
0.0007210731506347656,0.000257344583378141,0.0004299163818359375,0.00023246329375146212,0.01,1000,l1,saga,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,20
0.0006205081939697265,0.0001899841316161378,0.0005024433135986328,0.0003114016668695094,0.01,1000,l2,liblinear,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8,0.8333333333333334,0.8333333333333334,0.8,0.8666666666666667,0.8266666666666665,0.024944382578492935,15
0.0008561611175537109,0.0002969011545889957,0.0004967212677001953,0.0002070787228021555,0.01,1000,l2,saga,"{'C': 0.01, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.7,0.7333333333333333,0.7,0.7666666666666667,0.7333333333333333,0.7266666666666666,0.024944382578492973,19
0.0007967948913574219,0.00043453639387314375,0.00033416748046875,3.189987130850479e-05,0.1,1000,l1,liblinear,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.9,0.8466666666666667,0.03399346342395189,13
0.0010250568389892577,0.0003545534096889886,0.0003443717956542969,5.8594847398157214e-05,0.1,1000,l1,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.7666666666666667,0.8,0.7666666666666667,0.8,0.7666666666666667,0.78,0.01632993161855452,18
0.000576019287109375,0.00013537725200989578,0.0003326416015625,5.65409848842312e-05,0.1,1000,l2,liblinear,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8400000000000001,0.02494438257849294,14
0.000645589828491211,5.739927168080615e-05,0.0003037452697753906,2.332849956969749e-05,0.1,1000,l2,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8,0.8333333333333334,0.8333333333333334,0.8,0.8666666666666667,0.8266666666666665,0.024944382578492935,15
0.0006778240203857422,0.00035908833159696026,0.0004067420959472656,0.00022751509374305191,1.0,1000,l1,liblinear,"{'C': 1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8333333333333334,0.9666666666666667,0.8666666666666667,0.9,0.9333333333333333,0.9,0.04714045207910316,9
0.0034554004669189453,0.001255988721695418,0.000567626953125,0.00036699174551971454,1.0,1000,l1,saga,"{'C': 1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.8333333333333334,0.9666666666666667,0.8333333333333334,0.8666666666666667,0.9333333333333333,0.8866666666666667,0.05416025603090639,10
0.0004999160766601563,5.134750260026386e-05,0.00045838356018066404,0.00021343236527770386,1.0,1000,l2,liblinear,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8,0.9333333333333333,0.8333333333333334,0.8666666666666667,0.9333333333333333,0.8733333333333334,0.05333333333333332,11
0.002288532257080078,0.0008183474585719935,0.00068359375,0.0002824007996193548,1.0,1000,l2,saga,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.8,0.9,0.8333333333333334,0.8666666666666667,0.9333333333333333,0.8666666666666668,0.04714045207910316,12
0.0006291389465332032,6.138126024401915e-05,0.0003692626953125,5.22151711652779e-05,10.0,1000,l1,liblinear,"{'C': 10, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8666666666666667,0.9666666666666667,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9066666666666668,0.04898979485566356,3
0.008754396438598632,0.0023746876761347167,0.0006731510162353516,0.0002838921453929701,10.0,1000,l1,saga,"{'C': 10, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.8666666666666667,0.9666666666666667,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9066666666666668,0.04898979485566356,3
