Classifier,Best CV Score,Test Accuracy,Test F1,Variance,Std Dev,Range
SVM,0.8464,0.8508,0.6426,0.0006,0.0236,0.0873
Logistic Regression,0.8245,0.8264,0.5602,0.0002,0.0147,0.0577
MLP,0.846,0.8483,0.6612,0.0002,0.0141,0.0401
Decision Tree,0.8514,0.8566,0.6463,0.0001,0.0099,0.0448
KNN,0.8347,0.8412,0.6429,0.0,0.0055,0.0215
Naive Bayes,0.805,0.8035,0.4567,0.0,0.0002,0.0006
